name,year,miles,price,accidents,Owner,exterior_color,interior_color
Toyota Camry,2021,64905,21681,0,1,Gray,Unknown
Mazda Mazda3,2021,40810,23998,0,1,Gray,Red
Ford Escape,2020,59773,15994,2,1,Black,Black
Lexus UX,2021,30621,30333,0,1,Silver,Black
Toyota Corolla,2021,41229,18500,0,1,White,Black
Chevrolet Equinox,2023,3306,25000,0,1,Blue,Black
Mercedes-Benz GLB,2021,18407,30990,0,1,Blue,Beige
BMW 3 Series,2020,83353,19999,0,2,Red,Beige
Acura MDX,2017,100531,20998,0,2,White,Brown
Toyota Sienna,2016,91789,19998,2,3,Gray,Gray
Toyota Venza,2021,14150,32000,0,1,Blue,Black
Mercedes-Benz C-Class,2018,59696,21998,2,2,White,Black
Land Rover Defender,2021,29490,71222,0,1,Silver,Brown
BMW 5 Series,2023,9109,45498,0,1,Gray,Black
Subaru Forester,2017,99241,14948,0,1,Black,Black
Honda Civic,2020,36732,21721,0,2,Gray,Unknown
Land Rover Range Rover Sport,2009,112045,9995,5,5,Black,Black
Hyundai Sonata,2016,37285,15987,1,1,Gray,Gray
Chevrolet Spark,2022,36292,13650,0,1,Gray,Black
Mercedes-Benz C-Class,2015,78923,16999,0,4,Black,Black
Subaru Crosstrek,2021,7485,26300,0,1,Gray,Black
Subaru Outback,2020,69006,24323,0,2,White,Brown
Ford F-150,2019,112327,19998,0,1,White,Gray
Jaguar F-PACE,2019,47051,29013,0,1,Black,Unknown
Nissan Versa,2016,69957,9988,0,2,White,Black
Ford Mustang,2016,96178,23495,3,4,White,Black
Lexus UX,2020,18708,26991,0,1,Silver,Black
Ford Fusion,2020,43662,19888,1,1,Silver,Unknown
Ford Fusion,2018,86182,13995,1,2,White,Black
Nissan Rogue,2023,12912,23988,0,1,White,Black
Kia Sportage,2021,19216,20995,0,1,White,Black
Honda Civic,2020,20202,18995,0,1,White,Beige
BMW X5,2021,40745,45999,0,2,White,Black
Mercedes-Benz E-Class,2020,23564,38495,0,1,Black,Black
Toyota RAV4,2021,30956,27555,0,1,Silver,Black
Subaru Ascent,2022,17828,34888,0,1,Gray,Gray
Mercedes-Benz E-Class,2020,28678,36595,0,1,White,Black
Mercedes-Benz GLE,2021,27856,41997,0,1,Black,Black
Audi RS 6 Avant,2023,8483,124995,0,1,Gray,Black
Chevrolet Malibu,2021,33251,19250,0,1,Silver,Black
Mercedes-Benz C-Class,2021,28708,31154,0,2,Gray,Black
Mercedes-Benz GLC,2022,5029,38235,0,1,Black,Beige
Kia Forte,2017,53043,12991,1,2,White,Black
Mercedes-Benz C-Class,2016,81289,16999,4,3,Black,Black
Mercedes-Benz CLA,2023,6742,37776,0,2,Gray,Black
Toyota Corolla,2021,49191,18994,0,1,Unknown,Unknown
BMW X3,2021,20614,31999,0,1,White,Beige
Toyota Camry,2014,89428,15998,1,3,Gray,Black
Subaru Forester,2021,32390,23749,1,1,Blue,Gray
Hyundai Tucson,2017,114309,13998,1,1,Black,Black
Ford Transit Cargo Van,2021,57953,38995,0,1,White,Gray
Volvo XC90,2021,29141,38993,0,1,Silver,Black
Mercedes-Benz C-Class,2019,49842,25163,0,2,Black,Black
Jeep Gladiator,2020,28908,30991,0,1,Gray,Black
Mercedes-Benz C-Class,2021,15387,33009,0,1,Black,Black
Subaru Forester,2021,8879,26065,0,1,Green,Gray
BMW X1,2021,37595,23997,0,1,Black,Black
Mercedes-Benz C-Class,2023,7663,39777,0,1,Gray,Black
Ford F-150,2020,73920,27998,0,1,Gray,Gray
Mercedes-Benz GLE,2021,23303,42991,0,1,Silver,Beige
Subaru Outback,2023,5688,34600,0,1,Silver,Gray
Subaru Forester,2020,30962,24998,0,1,Black,Gray
Hyundai Elantra,2012,135320,6500,0,3,Red,Black
Mercedes-Benz GLA,2020,72921,19495,1,1,Black,Black
Buick Enclave,2023,10581,47000,0,1,White,Black
Toyota Prius,2022,28082,22500,1,1,Black,Black
Toyota Tacoma,2019,27160,33998,2,1,Gray,Black
Subaru Outback,2020,49318,23998,2,1,Silver,Gray
Volkswagen Taos,2022,35570,23998,1,1,White,Black
Kia Optima,2020,41053,22998,0,2,White,Black
Toyota RAV4,2021,62673,23993,0,1,Black,Gray
BMW X3,2020,61144,22100,0,1,Black,Black
Lexus UX,2022,12642,29333,0,1,Red,Black
Audi A3,2023,615,34995,0,1,Black,Black
BMW X3,2021,25621,29498,0,1,Black,Black
Toyota Corolla,2021,63421,18693,0,1,Silver,Black
Toyota Prius,2012,187405,10995,0,3,White,Unknown
Mercedes-Benz C-Class,2015,49125,16995,0,2,Blue,Unknown
BMW 3 Series,2021,7800,30999,0,1,Gray,Beige
BMW 3 Series,2015,117179,7695,0,4,Black,Black
Nissan Maxima,2018,43047,21998,0,2,Red,Beige
Mercedes-Benz GLB,2023,5723,41151,0,1,Black,Black
BMW 5 Series,2023,6776,69999,0,1,Black,Black
Audi Q5,2022,10969,36993,0,1,Silver,Gray
Toyota RAV4,2021,44447,25795,0,1,Gray,Black
Dodge Charger,2019,129303,13999,0,2,White,Black
Mercedes-Benz C-Class,2020,19543,26889,0,1,Silver,Beige
Mercedes-Benz GLE,2017,52826,23499,1,3,Black,Black
BMW 4 Series,2021,48855,40497,0,1,White,Red
Mazda Mazda6,2016,86686,16998,2,2,White,Black
Subaru Crosstrek,2021,41707,24991,0,1,Silver,Black
Mercedes-Benz GLC,2021,28374,29933,0,1,White,Black
Subaru Forester,2017,62567,17889,1,2,Gray,Gray
Nissan Frontier,2022,12232,26988,0,1,White,Black
Toyota Prius,2013,131525,10895,1,2,White,Gray
Ford Econoline Cargo Van,2011,152825,9998,0,2,White,Unknown
Jeep Wrangler,2022,16700,38444,0,2,Black,Black
Honda Civic,2012,124873,8995,1,4,Gray,Gray
Jaguar E-PACE,2020,22112,26666,0,1,Gray,Unknown
BMW X5,2020,27051,37498,0,2,Gray,Black
Audi A5,2023,6091,36462,0,1,Black,Black
Honda Accord,2020,35882,25498,1,1,Gray,Black
Subaru Outback,2023,8474,34600,0,1,White,Gray
Volvo XC90,2021,28560,38994,0,1,Gray,Black
BMW X5,2022,17842,43988,0,1,Black,Black
Jeep Wrangler,2022,17313,39566,0,1,Black,Black
BMW X5,2013,103297,11995,0,1,Silver,Black
Honda Civic,2020,46571,17495,0,2,Red,Black
FIAT 124 Spider,2017,48992,16200,0,2,Gray,Black
Dodge Charger,2018,105394,18998,0,2,White,Black
Acura RDX,2020,41508,24689,0,1,Black,Black
Kia K5,2022,49207,18998,0,1,Red,Black
Audi A3,2023,2235,33995,0,1,Black,Black
Mercedes-Benz E-Class,2020,38110,32595,0,3,Silver,Black
Toyota Corolla,2021,53960,21350,0,1,White,Unknown
Subaru Impreza,2015,80234,14998,0,2,Blue,Black
Toyota Corolla Cross,2022,7033,28333,0,1,White,Black
Honda Accord,2022,31454,24987,0,1,White,Black
Lincoln Nautilus,2021,7425,36995,0,1,Tan,Beige
Ford F-150,2023,198,59988,0,1,Gray,Black
Honda Accord,2021,68744,24493,0,1,White,Black
Ford F-150,2022,7383,41563,0,1,Gray,Black
Land Rover Range Rover Evoque,2014,81607,14995,0,2,Black,Black
Volkswagen Atlas,2019,28165,27998,0,1,Silver,Black
Land Rover Range Rover,2017,51250,40000,0,1,Gray,Black
Chevrolet Malibu,2022,43257,17400,0,1,Silver,Black
Toyota RAV4,2021,61589,26685,0,1,Black,Unknown
Chevrolet Corvette,2014,42423,41998,0,1,Black,Black
Acura MDX,2017,113292,19998,0,1,White,Black
Toyota RAV4,2021,62935,22998,1,1,Black,Black
Audi A3,2023,2110,32995,0,1,White,Beige
BMW 3 Series,2016,75635,16998,0,1,White,Black
Honda Civic,2017,26208,23998,0,1,Gray,Black
Hyundai Sonata,2019,38199,18998,1,1,Black,Black
Volkswagen Tiguan,2015,71416,15998,0,3,Tan,Black
Honda Civic,2022,28188,26998,0,1,White,Black
Chevrolet Equinox,2020,47370,19998,0,3,Black,Gray
Honda Fit,2015,84457,14998,1,2,Red,Black
Toyota 4Runner,2019,45870,29998,1,1,Black,Black
Hyundai Elantra,2020,41417,18998,0,1,White,Black
Honda Civic,2017,23045,22998,2,1,Black,Black
BMW M6,2014,43936,36998,0,2,Black,Black
Jeep Gladiator,2022,32956,35998,0,1,Gray,Black
Mercedes-Benz E-Class,2006,83321,7695,0,0,Gray,Unknown
Mercedes-Benz C-Class,2023,9779,40777,0,1,Gray,Black
Kia Forte,2021,26203,16995,0,1,Black,Black
Honda Civic,2012,126639,8995,0,2,Black,Gray
Honda Odyssey,2020,22045,32781,0,1,Silver,Gray
Dodge Challenger,2012,112067,16750,0,2,Black,Gray
Chevrolet Tahoe,2023,3924,64150,0,1,Blue,Black
Mercedes-Benz GLC,2021,11858,31933,0,1,White,Beige
BMW M5,2007,119568,16400,1,5,Silver,Gray
Honda Pilot,2021,30283,31187,1,1,Black,Black
Toyota Tacoma,2022,18137,33520,0,1,White,Gray
Audi Q5,2020,24359,30855,1,1,Gray,Black
Mercedes-Benz C-Class,2019,46446,22000,0,2,Blue,Beige
Audi Q3,2020,24398,25725,0,1,Blue,Brown
BMW 3 Series,2013,56891,17998,0,1,Gold,Black
Mercedes-Benz E-Class,2020,22338,43014,1,1,Gray,Black
Kia Sedona,2016,122368,13998,0,1,Silver,Gray
Toyota Corolla,2021,66531,18694,0,1,Red,Black
Subaru Crosstrek,2021,34129,24499,0,1,Black,Black
Mercedes-Benz GLC,2019,33933,26888,0,2,Black,Black
Mercedes-Benz GLC,2020,37045,26988,0,1,Black,Unknown
Mazda CX-5,2021,62203,21888,0,1,Silver,Black
Jeep Wrangler,2012,42222,21677,1,1,Black,Black
Audi A5,2023,2077,37998,0,1,Black,Black
Toyota Camry,2015,84982,16998,0,1,White,Black
Land Rover Range Rover Evoque,2012,95743,13995,0,2,White,White
Toyota RAV4,2017,96286,16888,0,2,Black,Black
Ford F-150,2021,62048,40678,1,1,Silver,Black
Chevrolet Equinox,2018,46513,14987,3,1,Silver,Black
Toyota Tacoma,2020,28772,34998,0,1,Black,Gray
Chevrolet Malibu,2022,36428,18998,0,1,White,Gray
Toyota Highlander,2020,18999,33998,1,1,Gray,Gray
Toyota Camry,2019,37498,23998,2,1,White,Black
Hyundai Santa Fe,2020,34444,25998,0,1,Blue,Black
Volkswagen Atlas,2021,57902,29998,1,1,Black,Black
Dodge Grand Caravan,2019,54821,20998,0,2,White,Black
Lexus NX,2021,65710,23991,0,1,Silver,Black
Chevrolet Corvette,2023,2088,93000,0,1,Silver,Black
Toyota Tacoma,2021,22721,31000,2,1,Gray,Gray
Land Rover Range Rover,2007,108459,9995,0,4,White,White
Toyota Corolla,2021,63321,18794,1,1,White,Gray
Toyota Corolla,2022,17868,20299,0,1,Black,Black
Mercedes-Benz GLA,2022,6097,32666,0,1,White,Beige
Toyota Corolla,2022,33868,17593,0,1,White,Black
Ford Escape,2022,36066,20799,0,1,Gray,Gray
Audi Q5,2022,11651,33497,0,2,Gray,Gray
Kia Forte,2020,96157,10995,0,3,Gray,Black
BMW X5,2012,101835,10400,0,2,Silver,Black
Chevrolet Camaro,2022,9952,30195,0,1,Unknown,Unknown
Toyota Camry,2020,25298,29999,0,1,White,Red
Kia Optima,2019,55465,17998,2,4,Silver,Black
INFINITI Q50,2020,27926,28400,0,1,Black,Gray
Ford Escape,2020,36158,16988,0,1,Gray,Gray
Mercedes-Benz GLC,2023,4202,50838,0,1,Blue,Black
Subaru Outback,2024,5699,34800,0,1,Silver,Gray
Toyota Tacoma,2013,111951,22250,2,1,Black,Gray
Volvo XC90,2020,55536,43163,0,1,White,Beige
Nissan Titan,2017,50920,30998,0,1,Black,Black
Toyota RAV4,2019,16985,28599,0,1,Silver,Gray
Mercedes-Benz A-Class,2020,65629,20555,1,1,White,Black
Toyota Prius,2015,94528,16998,1,1,Gray,Gray
Chevrolet Volt,2017,110560,10986,1,1,White,Black
Mercedes-Benz S-Class,2023,4813,104784,0,1,Black,Black
Toyota Highlander,2021,57404,32555,0,1,Blue,Red
Subaru Forester,2021,43610,25099,0,1,Blue,Gray
Ford F-150,2021,44974,35998,0,1,White,Gray
Ford F-150,2019,44978,30795,0,1,Black,Black
Nissan Versa,2022,54626,13950,0,1,Black,Black
Subaru Forester,2021,17357,28299,0,1,Black,Brown
Toyota RAV4,2021,34135,25727,0,1,Black,Gray
Subaru Outback,2022,25164,29474,0,1,Gray,Gray
Chrysler 200,2015,110746,9495,0,3,Black,Black
Land Rover Range Rover Sport,2014,74390,25995,2,3,Silver,Black
Ford Explorer,2021,42808,36500,0,1,White,Black
Volkswagen Jetta,2016,121571,7885,1,3,Gray,Black
Subaru Ascent,2022,12435,34449,0,1,Silver,Gray
Chevrolet Tahoe,2016,95699,23887,0,2,Silver,Black
Jeep Wrangler,2014,76436,21499,2,1,White,Black
Chevrolet Corvette,2021,6537,82150,0,1,Yellow,Black
Mercedes-Benz GLA,2021,26991,29649,1,1,White,Black
Audi Q3,2018,21714,21499,0,1,White,Black
Mercedes-Benz CLA,2014,58783,16999,0,1,White,Black
Mercedes-Benz C-Class,2020,37120,28222,0,2,Silver,Black
Toyota Corolla,2020,29126,19497,1,2,White,Black
Chevrolet Silverado 1500,2021,104561,31998,1,3,White,Black
Audi A3,2023,1193,32995,0,1,Black,Black
Kia Soul,2015,74267,8476,2,3,Gray,Black
BMW X1,2015,115152,11495,1,2,Black,Brown
Lexus RX,2018,50215,27986,1,1,White,Gray
Ford Explorer,2021,9876,31486,0,1,White,Gray
Kia K5,2022,41939,22500,0,1,White,Black
Kia K5,2021,56108,17988,0,1,Black,Black
Jeep Compass,2021,42815,19759,0,1,White,Black
Subaru Impreza,2020,28266,21620,0,1,White,Black
Jeep Wrangler,2018,50118,24515,0,1,Gray,Black
Mercedes-Benz A-Class,2019,27297,22588,1,1,Silver,Black
Dodge Challenger,2015,26780,46988,1,2,Black,Black
Jeep Grand Cherokee,2020,43868,25000,0,1,White,Black
Lexus ES,2021,12283,34000,0,1,Green,Black
Mercedes-Benz GLC,2021,25690,32904,0,1,White,Beige
Kia Forte,2021,15084,17995,0,1,Black,Black
Ford Explorer,2021,17691,31998,0,1,Black,Black
Subaru Ascent,2021,23805,30000,0,1,White,Beige
Subaru Outback,2024,6202,34800,0,1,White,Beige
Aston Martin DB9,2008,20938,40900,0,4,Black,Black
Hyundai Santa Fe,2023,32148,21800,0,1,White,Black
Ford Econoline Cargo Van,2013,307292,8995,2,1,White,Gray
Jeep Cherokee,2018,60305,15888,1,2,Black,Black
Toyota Camry,2020,39362,21222,0,1,Black,Black
Volkswagen Jetta,2017,114015,11495,2,2,Black,Black
Mercedes-Benz A-Class,2020,28125,25631,0,2,Black,Black
Mercedes-Benz A-Class,2019,34366,21987,1,3,Black,Black
Mercedes-Benz C-Class,2017,56536,18995,0,2,White,Beige
BMW X3,2022,6316,36499,0,1,Black,Brown
Mercedes-Benz GLB,2023,7439,39880,0,2,White,Beige
Cadillac Escalade,2023,13889,89991,0,1,Gray,Black
BMW X3,2021,59945,25998,0,1,White,Black
Audi R8,2012,33944,88000,0,4,Black,Black
Toyota Tacoma,2017,62689,29333,2,1,Silver,Gray
Toyota Tacoma,2019,117204,19999,1,1,White,Gray
Mercedes-Benz C-Class,2023,7499,39777,0,1,Black,Black
Chevrolet Malibu,2022,16331,19991,0,1,Gray,Black
Subaru Legacy,2023,5293,23999,0,1,White,Gray
Mercedes-Benz M-Class,2012,130708,8991,0,2,White,Gray
Honda Civic,2018,72905,14500,0,3,White,Beige
Hyundai Sonata,2013,85653,8995,0,2,Gray,Gray
Chrysler 300,2021,61474,22621,0,1,White,Black
Land Rover Range Rover,2014,61910,26999,0,3,White,Black
Toyota Tundra,2023,6478,61333,0,1,Blue,Black
Volkswagen Atlas,2019,36108,23987,0,1,Blue,Black
Audi Q5,2020,15503,29999,0,1,Black,Black
Chevrolet Trailblazer,2021,40743,19888,0,1,Black,Black
Ford Fusion,2020,42121,16308,0,1,Black,Black
Kia Soul,2018,52817,11995,0,3,Gray,Black
Kia Forte,2023,12459,19991,0,1,Gray,Black
Mercedes-Benz GLA,2021,32130,29419,0,1,Gray,Black
Acura MDX,2020,17913,31498,0,1,Black,Black
Honda Civic,2015,116519,9499,1,4,Silver,Gray
Mercedes-Benz SLK,2012,66614,17999,0,2,Black,Black
Chevrolet Malibu,2017,96583,11999,1,2,White,Black
Dodge Grand Caravan,2017,124407,8995,0,2,Black,Black
Mercedes-Benz SL,2000,86513,8995,1,3,White,Beige
Cadillac CTS,2004,175440,4966,3,4,White,Beige
Dodge Journey,2018,73637,10999,0,1,Black,Black
Honda CR-V,2019,27490,24063,0,1,Gray,Black
Honda CR-V,2021,51693,24300,0,1,Black,Gray
Subaru Outback,2023,5011,35300,0,1,White,Gray
Toyota Camry,2020,40875,21488,0,2,Black,Unknown
Mercedes-Benz C-Class,2021,21123,28998,1,1,Gray,Black
Volkswagen Jetta,2013,79328,13599,1,4,White,Unknown
Jeep Grand Cherokee,2018,63600,25998,0,2,Black,Black
Toyota Corolla,2021,64006,18985,0,1,White,Gray
Toyota RAV4,2018,54264,19555,0,0,White,Black
Hyundai Sonata,2016,89315,13998,1,2,Silver,Gray
Honda CR-V,2018,54900,22998,0,1,Gray,Black
Toyota RAV4,2013,61283,19998,2,3,Blue,Gray
Honda CR-V,2020,35038,27906,0,1,Gray,Black
Cadillac Escalade,2015,106871,26599,1,4,Black,Brown
Toyota Corolla,2015,124202,9991,1,3,White,Gray
BMW X5,2021,25347,42999,0,1,Blue,Black
Dodge Charger,2013,119000,8988,1,5,Black,Black
Ford Bronco Sport,2021,57497,25998,1,1,Red,Black
Toyota RAV4,2021,41484,36998,0,1,Red,Brown
Toyota Corolla,2022,18666,20943,0,1,Black,Black
Chevrolet Tahoe,2011,105208,15995,4,3,Black,Black
Toyota RAV4,2021,21406,26675,0,1,White,Black
Chevrolet Silverado 1500,2021,59728,35995,0,1,Gray,Black
Kia Soul,2021,94094,13495,0,1,Silver,Black
Toyota Camry,2020,93239,18218,1,1,Silver,Black
Toyota Prius Prime,2021,32835,26498,0,1,Gray,Black
Ford Transit Passenger Wagon,2019,73340,36997,0,2,White,Black
Ford Expedition,2020,88416,33998,0,3,Silver,Black
Chevrolet Silverado 1500,2022,17657,25998,0,1,White,Black
Toyota RAV4,2022,30244,24499,0,1,White,Black
Toyota Corolla,2019,103363,12999,0,1,Red,Black
Honda Civic,2018,40171,17495,1,1,Gray,Gray
Subaru Forester,2021,24736,22679,0,1,Silver,Black
Mercedes-Benz GLE,2020,80559,31888,0,1,Silver,Black
Land Rover Range Rover Sport,2014,94800,21995,2,2,Black,Unknown
Toyota Corolla,2018,116630,12999,1,2,White,Black
Audi A3,2018,78782,15898,1,1,Gray,Black
Honda HR-V,2021,18696,23598,0,1,Silver,Gray
Toyota Corolla,2021,69530,17993,0,1,Silver,Black
Mercedes-Benz Metris Cargo Van,2020,45405,26995,1,2,Blue,Black
BMW X5,2021,22220,42997,0,1,Black,Black
Cadillac XT5,2019,45232,20094,0,1,White,Beige
Toyota Camry,2020,23599,20555,0,1,Gray,Black
Subaru Crosstrek,2021,33559,25988,1,1,Gray,Gray
Audi Q3,2020,25933,29998,0,1,Black,Gray
Nissan Versa,2021,64534,15681,0,1,Silver,Gray
Kia K5,2022,40330,18000,0,1,Silver,Black
Honda HR-V,2022,11770,22222,0,1,Silver,Gray
Toyota Tacoma,2021,38015,31400,1,2,White,Gray
MINI Clubman,2023,2081,31995,0,1,White,Black
Audi Q5,2020,22534,31888,0,1,Gray,Black
BMW 5 Series,2017,60340,23998,0,1,Gray,Unknown
Ford Mustang,2017,90843,18998,0,3,Black,Black
Audi A7,2016,42396,28998,0,3,White,Black
Audi A3,2023,3573,32995,0,1,Black,Black
Toyota Prius,2006,193000,5991,2,2,Blue,Beige
Acura ILX,2020,29094,20998,1,1,Gray,Black
Subaru Forester,2015,13366,18100,0,1,White,Gray
Kia K5,2021,37982,22000,0,1,White,Black
Honda CR-Z,2015,75078,16998,0,4,Blue,Black
BMW X7,2022,27091,58533,0,1,Black,Black
Honda Odyssey,2014,77259,21998,0,1,Gray,Gray
Toyota Prius,2012,103487,10999,0,2,Silver,Gray
Kia Forte,2017,52456,12495,0,2,Black,Black
Porsche Macan,2018,38205,32295,0,4,Black,Black
BMW 4 Series,2021,17815,43496,0,1,Blue,Black
Mercedes-Benz C-Class,2021,30521,30560,0,1,Silver,Gray
Chevrolet Tahoe,2017,39702,34998,0,1,White,Black
Nissan Altima,2021,61705,17888,0,1,Black,Black
BMW X3,2021,10245,43999,0,1,White,Black
BMW X5,2020,43907,33994,0,1,Gray,Brown
Honda Civic,2017,78540,19998,0,3,White,Black
Porsche 911,2002,58556,26996,0,3,Silver,Black
Chevrolet Malibu,2020,46172,16998,0,1,Black,Black
Ford Ranger,2019,77267,19876,0,1,Silver,Black
Honda Civic,2013,37843,17998,0,1,White,Unknown
GMC Yukon,2016,99882,21999,0,1,Silver,Black
Mercedes-Benz E-Class,2015,94434,17495,0,2,Silver,Black
Volkswagen Tiguan,2021,41030,18999,0,1,Gray,Black
Mercedes-Benz GLC,2021,25030,29933,1,1,Gray,Black
Ford Escape,2021,13758,21995,0,1,Gray,Gray
Toyota Corolla Hatchback,2022,12909,22879,0,1,Black,Black
Audi Q8,2023,4320,68796,0,1,Black,Black
Chevrolet Malibu,2022,32265,19998,0,1,Silver,Black
BMW 3 Series,2020,61362,22200,0,1,Black,Beige
Jeep Grand Cherokee WK,2021,61058,24998,1,1,White,Black
Audi A3,2023,1008,32995,0,1,Black,Black
BMW 3 Series,2011,110377,6998,1,2,White,Beige
Subaru Crosstrek,2020,43420,24499,1,1,Black,Black
Kia Forte,2021,27187,19995,0,1,White,Black
Jeep Grand Cherokee,2015,94863,20998,0,2,White,Black
Ford F-150,2020,63997,31996,0,1,Black,Black
BMW X5,2012,88752,14995,0,2,White,Black
Kia K5,2021,33705,22300,0,1,Black,Black
Honda Civic,2019,64566,17084,1,2,Black,Black
BMW 5 Series,2014,122649,11995,1,3,Black,Black
Mercedes-Benz GLA,2021,35810,29701,0,1,White,Black
Audi Q7,2023,10322,58957,0,1,White,Black
Audi A8,2013,51583,17499,1,2,White,Black
Toyota Corolla,2021,29919,20995,0,1,Black,Black
Subaru Crosstrek,2021,34409,25100,0,1,White,Black
Honda Accord,2016,96250,18998,1,1,Black,Black
Chevrolet Silverado 1500,2013,70971,24998,0,4,Black,Black
Honda Accord,2017,38252,22998,0,2,Black,Black
Mercedes-Benz CLS,2014,21037,30998,0,3,Blue,Unknown
Honda Odyssey,2015,125578,16998,0,2,Gray,Gray
Audi A4,2015,53259,17998,0,3,Blue,Black
Ford Edge,2022,43221,26995,0,1,Black,Black
BMW X3,2021,20466,30763,0,1,Black,Black
Dodge Charger,2020,60196,19670,0,1,White,Black
BMW X3,2021,21749,30999,0,1,White,Beige
Mercedes-Benz C-Class,2023,4741,44764,0,1,White,Beige
Ford Escape,2016,111113,9995,0,2,Gray,Gray
Mercedes-Benz GLS,2020,69631,44992,0,1,White,Black
Kia Optima,2019,20602,19999,0,1,White,Black
BMW 3 Series,2016,101891,11995,0,2,Black,Beige
Ford F-150,2021,37193,34998,1,2,Black,Gray
Toyota Camry,2016,117456,12995,0,1,Silver,Unknown
Toyota Corolla,2021,37728,20650,0,1,Black,Black
Ford Explorer,2021,20357,31998,0,1,Silver,Unknown
BMW X3,2021,9620,43988,0,1,White,Black
Land Rover Range Rover Sport,2020,48726,44603,0,2,Black,Unknown
Toyota Camry,2016,106742,13778,0,2,Black,Black
Kia Optima,2013,106382,8995,2,2,White,Beige
Ford Transit Cargo Van,2020,128682,21995,1,1,White,Gray
Hyundai Accent,2013,106238,10998,1,3,Brown,Beige
Mercedes-Benz C-Class,2017,39640,18995,2,2,Black,Beige
Kia Soul,2021,62355,14955,0,1,Gray,Black
Toyota Corolla,2021,21135,20998,0,1,Gray,Gray
Mercedes-Benz GLE,2021,33266,63814,0,1,White,Black
Subaru Crosstrek,2024,1301,26741,0,1,White,Black
Toyota Camry,2020,45702,21986,0,1,Black,Black
Kia Forte,2020,60231,13900,0,2,Black,Black
Land Rover Range Rover Sport,2017,82088,26995,1,2,Black,Unknown
Toyota RAV4,2021,92984,29200,0,1,Gray,Black
Toyota Corolla,2017,78733,13991,1,1,White,Black
Kia Forte,2021,22450,17998,2,1,White,Black
Subaru BRZ,2022,21000,28998,0,2,Red,Black
Subaru Crosstrek,2022,39427,23300,0,1,White,Gray
Subaru WRX,2016,43959,21998,0,1,Blue,Black
Subaru Crosstrek,2018,71542,21998,0,3,Blue,Gray
Volkswagen Jetta,2019,32759,16765,1,2,Gray,Black
Chevrolet Malibu,2017,79894,13990,1,2,Gray,Gray
Honda Accord,2019,40673,17991,1,1,Gray,Gray
BMW X5,2019,19417,43998,0,1,White,Black
Maserati Levante,2019,22529,32000,2,1,Black,Black
Lexus GX,2022,18377,47996,0,1,Blue,Gray
Honda CR-V,2023,1007,33498,0,1,Unknown,Black
Toyota Highlander,2021,40088,39486,0,1,Gray,Gray
Mercedes-Benz C-Class,2023,6315,44868,0,1,White,Black
Nissan Armada,2021,63487,25684,0,1,Silver,Black
Honda Civic,2023,9562,25639,0,1,Red,Black
Toyota Tacoma,2022,8097,39991,0,1,Silver,Black
Nissan Sentra,2021,23023,18278,0,1,Red,Beige
Ford Fusion,2018,62354,10800,1,2,White,Unknown
Lexus NX,2020,39255,30998,0,1,White,Red
GMC Sierra 1500,2017,79434,26987,0,1,Gray,Black
Chevrolet Silverado 2500,2004,47395,19500,0,2,Black,Black
Ford Focus,2016,83009,17998,1,2,Gray,Black
Subaru Outback,2023,7345,34900,0,1,White,Gray
Toyota RAV4 Prime,2021,37418,37991,0,1,Silver,Black
Alfa Romeo Stelvio,2022,25,34751,0,1,Black,Black
BMW X3,2021,24706,28999,0,1,Blue,Black
Honda CR-V,2012,91988,12495,0,1,Black,Gray
Jeep Wrangler,2018,33724,31998,0,3,White,Black
Subaru Ascent,2022,25721,34984,0,1,Gray,Gray
Toyota Camry,2023,19660,23935,0,1,Gray,Black
Toyota Highlander,2021,34955,33994,0,1,White,Gray
Ford Explorer,2016,72635,18998,0,1,Silver,Beige
BMW 6 Series,2016,83633,22750,1,2,Black,Black
Subaru Outback,2023,5618,37500,0,1,White,Gray
Toyota Corolla,2021,74064,17994,1,1,Red,Black
Nissan Rogue,2021,10868,23991,0,1,Red,Black
Volvo V60,2020,45016,32598,0,1,Gray,Black
Mercedes-Benz GLA,2021,21352,29995,0,3,Black,Unknown
Audi Q7,2023,8581,51623,0,1,Black,Black
Mercedes-Benz A-Class,2021,7228,29046,0,1,Black,Black
Cadillac CTS,2016,97626,14900,1,3,White,Beige
Honda Accord,2021,43043,25981,0,1,Gray,Black
Mercedes-Benz GLE,2017,60253,38595,0,1,Unknown,Unknown
Mercedes-Benz GL,2011,88997,10988,0,3,Black,Black
Mercedes-Benz CLA,2019,54727,19999,0,2,Black,Black
Ford Transit Cargo Van,2021,26852,32998,0,1,White,Black
Mercedes-Benz CLA,2023,7023,37777,0,1,White,Black
Ford F-150,2021,49171,29998,0,1,White,Gray
Audi A3,2020,35165,24998,1,1,White,Black
Ford Fusion,2020,41553,19995,0,1,Black,Black
Lexus LS,2014,173788,17995,0,1,Black,Black
BMW 5 Series,2016,73181,14999,0,3,Silver,Beige
Kia Forte,2022,31031,18500,0,1,White,Black
Subaru Forester,2022,4681,28948,0,1,Red,Gray
Toyota 4Runner,2021,14683,44998,0,1,Black,Brown
Toyota Camry,2017,36663,19998,3,1,Silver,Unknown
Toyota Tacoma,2023,21953,36998,0,1,Silver,Black
BMW X5,2020,50716,35998,1,1,White,Black
Subaru Outback,2020,25038,28998,0,1,Gray,Gray
Chevrolet Trailblazer,2022,47162,23998,0,2,White,Black
