name,year,miles,price,accidents,Owner,exterior_color,interior_color
Lexus LX,2018,60028,53998,3,1,White,Red
Chevrolet Blazer,2020,23724,24998,1,1,Gray,Black
Nissan Altima,2021,58885,17993,0,1,Black,Black
Ford Bronco Sport,2022,18887,29795,0,1,Gray,Black
BMW 3 Series,2016,77896,14621,1,2,White,Beige
Mazda CX-9,2014,102507,10498,0,2,Silver,Black
Honda S2000,2000,15600,39998,0,1,Black,Black
Toyota Tacoma,2019,48925,27555,0,2,Gray,Gray
Toyota Tacoma,2017,97372,21555,1,2,Gray,Gray
Mercedes-Benz GLA,2022,2885,45999,0,1,Black,Black
Toyota Corolla,2021,44630,17000,1,2,Gray,Black
Hyundai Palisade,2020,47492,29000,0,1,Black,Black
Ford Transit Connect Van,2019,66478,22995,0,1,White,Black
Honda Odyssey,2020,26469,31997,0,1,White,Gray
Ford Explorer,2022,10608,45828,0,1,White,Black
Ford Fusion,2015,83650,11995,0,1,White,Gray
Volvo S60,2018,55196,18975,0,2,Gray,Black
Volkswagen Tiguan,2020,17193,19490,0,1,Black,Black
Mercedes-Benz S-Class,2014,88900,24502,0,1,White,Beige
Chevrolet Traverse,2020,57826,28600,1,1,White,Black
Mercedes-Benz C-Class,2020,30791,24791,1,1,Silver,Gray
Toyota Corolla,2021,11703,18782,0,1,Black,Gray
Land Rover Range Rover Sport,2013,124544,11995,0,3,Silver,Black
Acura RDX,2021,44809,28250,0,1,White,Black
Honda Civic,2021,19299,18998,1,1,Gray,Black
Volvo XC90,2021,30944,38749,0,1,Blue,Beige
Honda Civic,2021,20684,22500,0,1,White,Black
Maserati Quattroporte,2019,66469,28421,0,1,Blue,Brown
Land Rover Range Rover Sport,2021,53743,47995,0,1,Black,Black
Chevrolet Equinox,2020,28980,19795,0,1,Black,Black
Hyundai Accent,2016,94267,6999,0,2,White,Gray
Ford Edge,2020,9494,26795,0,1,Gray,Black
Chevrolet Equinox,2021,64971,16289,0,1,Blue,Black
Volvo XC90,2018,51994,24999,0,1,Silver,Black
Lexus RX,2020,28999,30999,1,2,Black,Unknown
Land Rover Range Rover,2018,35993,47999,0,2,White,Black
Ford Fusion,2018,61962,14788,0,1,Blue,Black
Mercedes-Benz C-Class,2020,15698,30006,0,1,Black,Beige
Toyota RAV4,2021,33636,24333,0,1,Red,Black
Jeep Gladiator,2020,38465,28799,0,1,White,Black
Chevrolet Silverado 1500,2023,6779,58890,0,1,Gray,Black
Mercedes-Benz E-Class,2019,38783,29750,0,1,White,Black
Dodge Charger,2019,42526,18000,0,1,White,Black
Volkswagen Tiguan,2020,41266,18991,0,1,Gray,Black
Chevrolet Malibu,2018,84208,10995,0,3,White,Black
Ford Ranger,2019,45072,26495,0,1,Gray,Black
Chevrolet Tahoe,2018,33118,36295,0,1,Black,Black
Honda Civic,2020,18650,20683,0,1,Silver,Black
Toyota Tacoma,2023,6828,39500,0,1,Silver,Black
Chevrolet Camaro,2014,76071,13850,1,1,Black,Black
Toyota Corolla,2021,62758,16900,0,1,Black,Black
Toyota Camry,2020,68181,18988,1,1,Black,Gray
Kia Soul,2022,43839,14999,0,1,White,Black
Honda Civic,2012,100774,9900,0,2,Blue,Gray
Toyota Corolla,2022,32604,17599,0,1,Black,Black
Toyota RAV4,2021,18746,24999,0,1,White,Unknown
Subaru Outback,2020,43468,22000,0,1,White,Gray
Ford F-150,2021,66206,36475,0,1,Black,Black
Land Rover Range Rover Velar,2019,26989,44395,0,1,White,Unknown
Honda HR-V,2020,32972,22143,0,1,Gray,Black
Ford F-150,2014,99018,14495,0,1,White,Gray
Mercedes-Benz CLA,2020,25905,36966,0,2,White,Black
Toyota Tacoma,2021,19950,33333,0,1,Green,Gray
Honda Accord,2014,54424,17498,0,3,Tan,Beige
Jeep Wrangler,2018,50216,24000,1,3,White,Black
Nissan Altima,2015,101629,12599,0,2,Black,Black
Ford Explorer,2020,31907,39998,0,1,Gray,Black
Honda Civic,2021,27185,25998,0,1,White,Black
Ford Fiesta,2014,97490,10998,1,3,Gray,Black
Nissan Sentra,2015,56977,14998,0,3,Black,Black
Toyota Venza,2014,113327,14599,2,4,Silver,Gray
Mercedes-Benz GLC,2019,37682,26998,0,1,Black,Black
Honda Civic,2019,45246,21998,0,2,White,Black
Mercedes-Benz GLE,2016,69891,22998,1,1,White,Gray
Volkswagen Tiguan,2019,73055,18998,0,1,White,Black
Mercedes-Benz CLA,2023,9735,37815,0,1,White,Black
Honda HR-V,2023,3590,24480,0,1,Unknown,Gray
Mercedes-Benz GLB,2020,24121,27179,0,2,Black,Black
BMW i3,2016,62200,12999,0,3,White,Gray
Ford Bronco,2022,10611,46997,0,1,Black,Unknown
Subaru WRX,2019,38318,26298,0,4,Gray,Black
Kia Forte,2022,38804,15199,0,1,White,Black
Honda Civic,2020,46024,19998,0,1,Blue,Unknown
Toyota Corolla,2021,21209,22993,1,1,Red,Black
Volkswagen Jetta,2019,19267,17991,0,1,White,Black
Ford Edge,2023,4706,34770,0,1,White,Black
Ford Edge,2020,23841,27995,0,1,White,Black
Land Rover Range Rover,2014,74950,29995,1,1,White,Beige
Toyota Corolla,2014,103439,12750,0,4,Gray,Black
Toyota Camry,2022,31535,21899,0,1,White,Black
BMW X5,2021,40003,36996,1,1,Gray,Brown
Land Rover Range Rover Sport,2014,109322,18995,0,4,White,Unknown
Land Rover Range Rover Sport,2015,25995,25995,0,5,Unknown,Unknown
Lexus IS,2014,101232,16795,2,3,White,Beige
BMW X3,2021,47167,26698,0,1,Gray,Black
Honda Civic,2021,27790,22498,0,1,Black,Black
Mercedes-Benz E-Class,2021,16386,35756,0,1,Black,Black
Honda Civic,2018,77068,14987,0,3,White,Gray
Chevrolet Silverado 1500,2018,20165,41000,0,1,Gray,Black
Toyota Camry,2022,31634,22100,0,1,Silver,Black
Ford Transit Passenger Wagon,2021,61023,42993,0,2,White,Black
Toyota Corolla,2022,38484,18498,0,1,Blue,Black
Mercedes-Benz C-Class,2020,26488,24990,0,2,Blue,Beige
Mercedes-Benz GLE,2021,41592,36991,0,1,Black,Black
Kia Forte,2022,39844,15199,0,1,White,Black
Toyota Camry,2023,14771,25995,0,1,Unknown,Unknown
Toyota Tacoma,2022,9629,40991,0,1,White,Black
BMW 3 Series,2017,86333,15600,0,2,Gray,Black
Mercedes-Benz GLE,2021,40995,59888,0,1,White,Black
Audi Q5,2021,23982,33949,0,1,Black,Black
Toyota Corolla,2021,17471,17987,1,1,Gray,Black
Chevrolet Blazer,2021,33980,24986,0,1,White,Black
Toyota Corolla,2022,47087,17999,0,2,Black,Unknown
Maserati GranTurismo,2014,52973,39999,0,2,Black,Beige
Mercedes-Benz C-Class,2021,18741,30651,0,1,Blue,Beige
Toyota Camry,2020,64716,18700,0,1,Gray,Black
Toyota Corolla,2021,18446,19781,2,1,White,Black
Chevrolet Camaro,2011,138514,7000,1,2,White,Black
Mercedes-Benz CLA,2020,37974,26374,1,1,Silver,Beige
Subaru Outback,2024,2455,31999,0,1,Gray,Gray
Audi Q3,2021,52381,22399,0,1,White,Black
Lexus RC,2016,74595,23888,1,2,Silver,Black
Chevrolet Tahoe,2021,21756,62495,0,2,Black,Black
Toyota Corolla,2020,46357,16999,1,2,Black,Black
Ford Focus,2016,104788,7499,0,3,Silver,Black
Mercedes-Benz GLC,2022,12483,35136,0,1,White,Black
Nissan Maxima,2017,90382,18998,0,1,White,Black
Nissan Altima,2016,84634,14998,1,2,White,Black
Hyundai Elantra,2013,113669,11599,0,1,White,Beige
Chevrolet Malibu,2022,28464,17991,0,1,White,Black
Audi S3,2016,54042,25998,1,4,Blue,Black
Dodge Challenger,2022,27530,26700,0,1,Black,Black
Nissan Rogue,2021,28753,21239,0,1,Gray,Black
Nissan Altima,2015,93969,12998,1,2,Black,Black
Toyota Corolla,2022,51240,18987,0,1,Gray,Unknown
Toyota Camry,2020,22440,29222,0,1,Blue,Black
Kia Seltos,2021,34451,18376,0,1,Gray,Black
Toyota Camry,2020,34491,24998,1,1,Blue,Black
Chevrolet Traverse,2017,60307,18998,0,1,Silver,Gray
BMW 3 Series,2020,31684,24696,1,1,Gray,Beige
Audi Q3,2018,34641,23998,0,1,White,Black
Toyota Highlander,2022,49766,39595,0,1,Silver,Black
Honda Civic,2017,79022,19998,3,2,Red,Black
Mercedes-Benz C-Class,2021,12194,30258,0,1,White,Beige
BMW 3 Series,2018,56467,22998,1,2,White,Black
Toyota Camry,2021,65107,20666,0,1,Black,Black
Jeep Grand Cherokee,2018,48895,22995,2,1,Gray,Black
Volkswagen Tiguan,2017,57467,17998,0,2,Black,Black
BMW 3 Series,2020,60921,22000,0,1,Black,Beige
Hyundai Sonata,2015,57114,9993,1,1,Red,Beige
Jeep Compass,2019,84793,17998,1,3,Black,Black
Toyota RAV4,2021,24639,27998,0,1,Black,Black
Toyota Corolla,2021,74700,16642,0,2,White,Black
Kia Optima,2016,75067,15998,2,2,Gray,Gray
Mercedes-Benz C-Class,2017,54673,22998,1,2,Blue,Unknown
Mercedes-Benz A-Class,2020,16946,25997,1,1,Black,Black
Land Rover Defender,2020,32049,59998,0,1,Green,Green
Ford F-150,2023,189,44700,0,1,Red,Black
Hyundai Elantra,2020,28846,18998,0,1,White,Beige
Toyota Corolla,2022,53358,17888,0,1,Blue,Black
Kia Forte,2021,17253,17631,0,1,White,Black
Audi allroad,2013,86955,15998,1,1,Black,Black
BMW X3,2014,58663,18998,0,1,Gray,Black
Nissan Pathfinder,2019,61819,17988,0,3,Silver,Black
Mercedes-Benz C-Class,2019,32753,32446,0,2,White,Black
Lexus NX,2022,14516,42991,0,1,White,Red
Mazda Mazda3,2018,67973,17998,1,2,Red,Black
BMW 4 Series,2019,53278,28998,0,2,White,White
Mercedes-Benz E-Class,2012,97196,11850,1,3,Silver,Black
Dodge Charger,2016,89836,22998,1,1,Black,Black
Lexus LS,2015,63131,25850,1,2,White,Black
BMW 3 Series,2013,77674,12900,2,4,Black,Beige
Honda Civic,2020,36858,21998,0,1,Blue,Black
Jaguar F-PACE,2020,26515,30994,0,1,White,Unknown
BMW 5 Series,2020,12563,30996,0,1,White,Black
Dodge Charger,2019,42531,18700,0,1,White,Black
Honda Civic,2022,17593,27419,0,1,Black,Black
Volkswagen Atlas,2021,17081,29089,0,1,Gray,Black
GMC Canyon,2016,81653,24998,0,2,Silver,Black
Jeep Wrangler,2020,41453,29499,0,1,Silver,Black
Honda Civic,2013,99911,10987,2,2,Gray,Black
Dodge Grand Caravan,2019,89118,12650,0,2,Gray,Black
Porsche Macan,2021,35286,48998,0,1,Black,Black
Toyota RAV4,2021,65810,22981,0,1,Blue,Unknown
BMW X3,2020,25170,27888,0,1,Black,Black
Mercedes-Benz C-Class,2021,27643,30806,0,1,White,Black
BMW X1,2018,52323,21998,0,1,Black,Black
Mercedes-Benz GLC,2020,44407,25995,0,1,Black,Black
Volkswagen Jetta,2019,39057,15190,0,1,Black,Gray
Subaru Outback,2023,4001,31989,0,1,Black,Beige
Chevrolet Silverado 1500,2021,23211,35498,0,1,Silver,Black
Kia Forte,2023,1292,23998,0,1,Black,Black
Volkswagen CC,2015,65361,11500,0,3,Silver,Black
Hyundai Kona,2021,13995,16298,0,3,White,Gray
Kia K5,2022,40143,17500,0,1,White,Black
Jeep Wrangler,2020,41074,29499,0,1,Silver,Black
Nissan Frontier,2022,21865,28988,0,1,Gray,Black
Land Rover Range Rover Sport,2016,64238,25888,0,1,Black,Black
Volkswagen Tiguan,2020,52955,20998,0,1,Silver,Black
Subaru WRX,2018,12876,28598,0,1,White,Black
Nissan Sentra,2017,40583,15998,0,2,Red,Black
Hyundai Accent,2017,89257,7999,1,3,Blue,Gray
Nissan Rogue,2016,40259,17998,1,2,Gray,Black
Ford F-150,2022,12958,44598,0,0,Blue,Black
BMW X5,2021,38529,37986,0,1,Black,Black
Toyota Prius Prime,2021,21005,27715,0,1,Silver,Black
Subaru Forester,2021,37997,26449,0,1,White,Brown
Mercedes-Benz GLB,2023,3837,41886,0,1,Gray,Gray
Toyota Camry,2014,90348,15998,0,1,White,Gray
Buick Encore,2019,26251,18798,0,1,Red,Black
Kia K5,2021,11972,23766,0,1,Gray,Black
Volvo XC90,2021,30632,45787,0,1,Gray,Beige
Mercedes-Benz C-Class,2020,28001,27680,0,2,Silver,Gray
Chevrolet Silverado 1500,2023,15933,53750,0,1,Blue,Black
Mercedes-Benz GLA,2020,26763,22591,0,1,White,Beige
Chevrolet Corvette,2016,26660,64250,0,5,White,Black
Ford Mustang,2021,22166,26998,0,2,Black,Black
Dodge Challenger,2021,25643,21959,0,1,White,Black
Honda Civic,2020,12070,21688,0,1,Red,Black
Honda Accord,2018,19668,23998,0,1,Gray,Black
Honda CR-V,2020,25927,24998,0,1,Black,Black
Ford F-150,2010,269638,6666,0,7,White,Black
Subaru Outback,2020,15118,26949,0,1,Silver,Gray
Jeep Wrangler,2021,69341,27000,0,1,White,Black
Acura MDX,2013,91230,16998,1,1,Blue,Gray
Ford Fusion,2019,20687,22998,0,1,White,Black
Cadillac XT5,2018,86034,21998,0,1,Black,Black
Nissan Sentra,2020,28711,19998,1,1,Silver,Black
Jeep Cherokee,2021,10350,24222,0,1,Gray,Black
Toyota Highlander,2013,74780,20998,0,2,Gray,Gray
Lexus RX,2021,24526,36794,0,1,Black,Black
Lexus NX,2023,2880,46998,0,1,White,Black
Subaru Crosstrek,2021,20653,25299,3,1,Red,Black
Ram 1500 Classic,2020,38374,26998,0,1,Blue,Black
Subaru Outback,2020,28693,23889,0,1,Black,Gray
Lexus ES,2017,138015,13999,1,2,Unknown,Unknown
BMW X5,2017,38477,28998,1,2,Gray,Black
Jeep Compass,2020,40839,16819,1,2,White,Black
Mazda CX-5,2022,10225,29998,0,2,Gray,Black
Honda Civic,2021,25387,19649,0,1,Silver,Gray
Nissan Sentra,2022,22045,17799,0,1,Black,Black
Nissan Altima,2020,45891,17998,0,2,Gray,Black
Porsche Macan,2020,18629,39998,0,1,White,Black
Honda HR-V,2022,33778,20200,0,1,Black,Black
Lexus ES,2019,18131,30369,2,1,Black,Black
Chevrolet Camaro,2022,33204,23900,0,1,Black,Gray
Mercedes-Benz CLA,2021,26118,24991,0,1,White,Black
Ford Transit Passenger Wagon,2018,49057,37997,0,2,White,Black
Mercedes-Benz E-Class,2020,4339,39460,0,1,White,Black
Volkswagen Passat,2021,63535,17987,0,1,White,Black
Mercedes-Benz C-Class,2020,29189,28946,0,2,White,Beige
